ID	RoofID	RoofName	Veg_Type	Species 	Genus	Family	Life_form	Roof_age	Age
MR_13_P7	MR_13	BK_Grange_Navy_Yards	Mixed_vegetation	Achillea millefolium	Achillea	Asteraceae	Forb	2012	2009-2012
MR_18_T2_1	MR_18	Kingsland_Wildflower	Mixed_vegetation	Achillea sp.	Achillea	Asteraceae	Forb	2017	2013-2017
MR_8_P7	MR_8	5Boro_Bioroof	Mixed_vegetation	Achillea millefolium	Achillea	Asteraceae	Forb	2010	2009-2012
MR_9_P7	MR_9	Rockaways	Mixed_vegetation	Calamagrostis sp.	Calamagrostis	Poaceae	Grass	2016	2013-2017
MR_9_P8	MR_9	Rockaways	Mixed_vegetation	Calamagrostis sp.	Calamagrostis	Poaceae	Grass	2016	2013-2017
MR_9_P9	MR_9	Rockaways	Mixed_vegetation	Calamagrostis sp.	Calamagrostis	Poaceae	Grass	2016	2013-2017
MR_13_P8	MR_13	BK_Grange_Navy_Yards	Mixed_vegetation	Centaurea cyanus	Centaurea	Asteraceae	Forb	2012	2009-2012
MR_15_P9	MR_15	BK_Grange_LIC	Mixed_vegetation	Centaurea cyanus	Centaurea	Asteraceae	Forb	2010	2009-2012
MR_11_P3	MR_11	Linda_Tool	Mixed_vegetation	Coreopsis lanceolata	Coreopsis	Asteraceae	Forb	2008	2004-2008
MR_11_P6	MR_11	Linda_Tool	Mixed_vegetation	Coreopsis lanceolata	Coreopsis	Asteraceae	Forb	2008	2004-2008
MR_11_P8	MR_11	Linda_Tool	Mixed_vegetation	Coreopsis lanceolata	Coreopsis	Asteraceae	Forb	2008	2004-2008
MR_13_P4	MR_13	BK_Grange_Navy_Yards	Mixed_vegetation	Coreopsis lanceolata	Coreopsis	Asteraceae	Forb	2012	2009-2012
MR_15_P5	MR_15	BK_Grange_LIC	Mixed_vegetation	Coreopsis lanceolata	Coreopsis	Asteraceae	Forb	2010	2009-2012
MR_15_P6	MR_15	BK_Grange_LIC	Mixed_vegetation	Coreopsis lanceolata	Coreopsis	Asteraceae	Forb	2010	2009-2012
MR_15_P7	MR_15	BK_Grange_LIC	Mixed_vegetation	Coreopsis lanceolata	Coreopsis	Asteraceae	Forb	2010	2009-2012
MR_16_T3_3	MR_16	Grand_Street	Mixed_vegetation	Coreopsis sp.	Coreopsis	Asteraceae	Forb	2004	2004-2008
MR_17_P3	MR_17	VICE	Mixed_vegetation	Coreopsis sp.	Coreopsis	Asteraceae	Forb	2015	2013-2017
MR_18_T1_1	MR_18	Kingsland_Wildflower	Mixed_vegetation	Coreopsis sp.	Coreopsis	Asteraceae	Forb	2017	2013-2017
MR_18_T3_1	MR_18	Kingsland_Wildflower	Mixed_vegetation	Coreopsis sp.	Coreopsis	Asteraceae	Forb	2017	2013-2017
MR_18_T3_3	MR_18	Kingsland_Wildflower	Mixed_vegetation	Coreopsis sp.	Coreopsis	Asteraceae	Forb	2017	2013-2017
MR_19_P3	MR_19	Wild_Project	Mixed_vegetation	Coreopsis tinctoria	Coreopsis	Asteraceae	Forb	2007	2004-2008
MR_19_P7	MR_19	Wild_Project	Mixed_vegetation	Coreopsis tinctoria	Coreopsis	Asteraceae	Forb	2007	2004-2008
MR_19_P8	MR_19	Wild_Project	Mixed_vegetation	Coreopsis tinctoria	Coreopsis	Asteraceae	Forb	2007	2004-2008
MR_8_P2	MR_8	5Boro_Bioroof	Mixed_vegetation	Coreopsis lanceolata	Coreopsis	Asteraceae	Forb	2010	2009-2012
MR_8_P9	MR_8	5Boro_Bioroof	Mixed_vegetation	Coreopsis lanceolata	Coreopsis	Asteraceae	Forb	2010	2009-2012
MR_13_P3	MR_13	BK_Grange_Navy_Yards	Mixed_vegetation	Cosmos sp.	Cosmos	Asteraceae	Forb	2012	2009-2012
MR_13_P6	MR_13	BK_Grange_Navy_Yards	Mixed_vegetation	Cosmos sp.	Cosmos	Asteraceae	Forb	2012	2009-2012
MR_13_P9	MR_13	BK_Grange_Navy_Yards	Mixed_vegetation	Cosmos sp.	Cosmos	Asteraceae	Forb	2012	2009-2012
MR_16_T1_1	MR_16	Grand_Street	Mixed_vegetation	Cosmos sp.	Cosmos	Asteraceae	Forb	2004	2004-2008
MR_13_P2	MR_13	BK_Grange_Navy_Yards	Mixed_vegetation	Echinacea sp.	Echinacea	Asteraceae	Forb	2012	2009-2012
MR_15_P4	MR_15	BK_Grange_LIC	Mixed_vegetation	Echinacaea purpurea	Echinacea	Asteraceae	Forb	2010	2009-2012
MR_16_T2_1	MR_16	Grand_Street	Mixed_vegetation	Echinacaea purpurea	Echinacea	Asteraceae	Forb	2004	2004-2008
MR_16_T3_1	MR_16	Grand_Street	Mixed_vegetation	Echinacaea purpurea	Echinacea	Asteraceae	Forb	2004	2004-2008
MR_17_P1	MR_17	VICE	Mixed_vegetation	Echinacaea purpurea	Echinacea	Asteraceae	Forb	2015	2013-2017
MR_17_P2	MR_17	VICE	Mixed_vegetation	Echinacaea purpurea	Echinacea	Asteraceae	Forb	2015	2013-2017
MR_17_P8	MR_17	VICE	Mixed_vegetation	Echinacaea purpurea	Echinacea	Asteraceae	Forb	2015	2013-2017
MR_2_T1_1	MR_2	Greenwich_Village_Elementary	Mixed_vegetation	Echinacaea tennesseensis	Echinacea	Asteraceae	Forb	2012	2009-2012
