OTU_ID	MR_1_P1	MR_1_P2	MR_1_P3	MR_1_P4	MR_1_P5	MR_1_P6	MR_1_P7	MR_1_P8	MR_1_P9	MR_10_P1	MR_10_P2	MR_10_P3	MR_10_P4	MR_10_P5	MR_10_P6	MR_10_P7	MR_10_P8	MR_10_P9	MR_11_P1	MR_11_P2	MR_11_P3	MR_11_P4	MR_11_P5	MR_11_P6	MR_11_P7	MR_11_P8	MR_11_P9	MR_12_T1_1	MR_12_T1_2	MR_12_T1_3	MR_12_T2_1	MR_12_T2_2	MR_12_T2_3	MR_12_T3_1	MR_12_T3_2	MR_13_P1	MR_13_P2	MR_13_P3	MR_13_P4	MR_13_P5	MR_13_P6	MR_13_P7	MR_13_P8	MR_13_P9	MR_14_P2	MR_14_P3	MR_14_P4	MR_14_P5	MR_14_P6	MR_14_P7	MR_14_P8	MR_14_P9	MR_15_P1	MR_15_P2	MR_15_P3	MR_15_P4	MR_15_P5	MR_15_P6	MR_15_P7	MR_15_P8	MR_15_P9	MR_16_T1_1	MR_16_T1_2	MR_16_T1_3	MR_16_T2_1	MR_16_T2_2	MR_16_T3_1	MR_16_T3_3	MR_17_P1	MR_17_P2	MR_17_P3	MR_17_P4	MR_17_P5	MR_17_P8	MR_18_T1_1	MR_18_T1_3	MR_18_T2_1	MR_18_T2_3	MR_18_T3_1	MR_18_T3_3	MR_19_P1	MR_19_P2	MR_19_P3	MR_19_P4	MR_19_P5	MR_19_P7	MR_19_P8	MR_19_P9	MR_2_T1_1	MR_2_T1_2	MR_2_T1_3	MR_2_T2_1	MR_2_T2_2	MR_2_T2_3	MR_2_T3_1	MR_2_T3_2	MR_2_T3_3	MR_20_T1_1	MR_20_T1_2	MR_20_T1_3	MR_20_T2_1	MR_20_T2_2	MR_20_T2_3	MR_20_T3_1	MR_20_T3_2	MR_21_P1	MR_21_P2	MR_3_T1_1	MR_3_T1_2	MR_3_T1_3	MR_3_T2_1	MR_3_T2_2	MR_3_T2_3	MR_3_T3_1	MR_3_T3_2	MR_3_T3_3	MR_4_P1	MR_4_P2	MR_4_P3	MR_4_P4	MR_4_P5	MR_4_P6	MR_4_P7	MR_4_P8	MR_4_P9	MR_5_T1_1	MR_5_T1_2	MR_5_T1_3	MR_5_T2_1	MR_5_T2_2	MR_5_T2_3	MR_5_T3_1	MR_5_T3_2	MR_5_T3_3	MR_6_T1_1	MR_6_T1_2	MR_6_T1_3	MR_6_T2_1	MR_6_T2_2	MR_6_T2_3	MR_6_T3_1	MR_6_T3_2	MR_6_T3_3	MR_7_P1	MR_7_P2	MR_7_P3	MR_7_P4	MR_7_P5	MR_7_P6	MR_7_P7	MR_7_P8	MR_7_P9	MR_8_P1	MR_8_P2	MR_8_P3	MR_8_P4	MR_8_P5	MR_8_P6	MR_8_P7	MR_8_P8	MR_8_P9	MR_9_P1	MR_9_P2	MR_9_P3	MR_9_P4	MR_9_P5	MR_9_P6	MR_9_P7	MR_9_P8	MR_9_P9	SR_1_T1_1	SR_1_T1_2	SR_1_T1_3	SR_1_T2_1	SR_1_T2_2	SR_1_T2_3	SR_1_T3_2	SR_1_T3_3	SR_10_T1_1	SR_10_T1_2	SR_10_T1_3	SR_10_T2_1	SR_10_T2_2	SR_10_T2_3	SR_10_T3_1	SR_10_T3_2	SR_10_T3_3	SR_11_T1_1	SR_11_T1_2	SR_11_T1_3	SR_11_T2_1	SR_11_T2_2	SR_11_T2_3	SR_11_T3_1	SR_11_T3_2	SR_11_T3_3	SR_2_T1_1	SR_2_T1_2	SR_2_T1_3	SR_2_T2_1	SR_2_T2_2	SR_2_T2_3	SR_2_T3_1	SR_2_T3_2	SR_2_T3_3	SR_3_T1_1	SR_3_T1_2	SR_3_T1_3	SR_3_T2_1	SR_3_T2_2	SR_3_T2_3	SR_3_T3_1	SR_3_T3_2	SR_3_T3_3	SR_4_T1_1	SR_4_T1_2	SR_4_T1_3	SR_4_T2_1	SR_4_T2_2	SR_4_T2_3	SR_4_T3_1	SR_4_T3_2	SR_4_T3_3	SR_5_T1_1	SR_5_T1_2	SR_5_T1_3	SR_5_T2_1	SR_5_T2_2	SR_5_T2_3	SR_5_T3_1	SR_5_T3_2	SR_5_T3_3	SR_6_T1_1	SR_6_T1_2	SR_6_T1_3	SR_6_T2_1	SR_6_T2_2	SR_6_T2_3	SR_6_T3_1	SR_6_T3_2	SR_6_T3_3	SR_7_T1_1	SR_7_T1_2	SR_7_T1_3	SR_7_T2_1	SR_7_T2_2	SR_7_T2_3	SR_7_T3_1	SR_7_T3_2	SR_7_T3_3	SR_8_T1_1	SR_8_T1_2	SR_8_T1_3	SR_8_T2_1	SR_8_T2_2	SR_8_T2_3	SR_8_T3_1	SR_8_T3_2	SR_8_T3_3	SR_9_T1_1	SR_9_T1_2	SR_9_T1_3	SR_9_T2_3	SR_9_T3_1	SR_9_T3_2	SR_9_T3_3	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
OTU9489	78	187	160	6171	2866	147	2363	33	45	2	5	4	58	1	0	0	1	3	6	214	26	0	0	18	81	15	70	0	0	1	1	3	0	0	1	30	5	27	128	8	18	2	4	0	0	0	2	0	85	34	0	1	164	135	10	4	6	0	17	1079	11	233	101	771	522	2911	916	172	894	0	97	74	16	37	0	0	0	1	1	0	1694	900	1201	863	625	518	371	2423	110	110	6	39	93	94	725	57	111	131	146	2156	3902	2997	327	294	123	9	323	55	2	5	1	15	1	29	9	859	2228	2491	1437	5660	166	366	1812	534	897	1468	1	18	71	66	47	551	233	2666	18	0	3	2	1	0	2	13	0	777	223	176	533	132	207	20	434	419	14	71	184	455	2627	345	43	180	321	1178	0	4	0	0	12	1	28	5	31	103	89	34	848	52	11	82	4	122	182	0	3	4	0	194	93	414	807	421	298	172	199	2451	76	124	0	2	1	0	1	0	2	2	3	9	3	2	952	3	5	6	0	2	286	57	1108	3105	0	12	6	20	235	3	7	22	12	96	31	8	29	0	6	34	174	86	139	161	59	129	383	10	28	316	68	273	167	35	85	345	6	28	0	1	0	0	5	9	4	73	12	7	52	184	24	69	Mortierella_sp|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	Mortierella	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
OTU2163	94	151	22	59	34	883	39	3	2	2	0	4	29	2	0	0	1	2	3	2	2	15	0	1	0	1	1	2	2	4	3	2	4	2	2	484	10	7	14	16	27	26	45	18	6	0	6	4	2	3	2	10	1	2	8	576	161	5	133	108	101	0	968	3	18	11	0	201	0	779	0	0	0	32	0	3	4	1	0	1	126	52	24	747	49	87	110	0	1449	122	3203	1005	122	10	836	1599	3022	734	14	0	5	0	3	1	0	19	10	1	75	53	159	5	34	1	0	1	81	22	170	20	236	3	11	10	2569	4	3	4	1	106	165	0	0	0	5	2	5	1	3	3	2	1	1	10	2	47	15	26	68	35	19	78	1	2	4	1	0	1	0	3	6	0	0	2	2	1	4	1	1	1	188	5	46	211	81	1	25	25	8	0	560	10	19	739	45	2321	58	278	242	1015	152	273	628	2048	4624	1	3096	8	235	709	1078	3197	4956	609	4993	1036	2594	1343	212	1971	1436	2000	1219	1002	1903	95	25	7	8	2101	2	0	70	189	70	422	157	515	266	27	176	138	71	484	772	117	0	137	255	218	76	148	843	538	617	42	56	45	240	65	29	2	5	2	0	1	2	12	3	601	39	1359	40	492	1355	658	Conioscypha_sp|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Conioscyphales;f__Conioscyphaceae;g__Conioscypha	-	-	-	-	-	-	-	Unassigned	-
OTU7527	7	1	0	0	1	59	1	1	1	32	626	76	17	346	42	219	79	13	9	30	35	11	45	51	47	91	174	1999	1101	321	313	164	252	639	585	1	2	1	1	0	2	2	0	2	269	555	300	2717	863	117	513	21	0	1	0	0	3	1	1	3	0	823	444	435	57	11	10	476	2	0	0	0	0	5	0	0	1	2	0	0	5	6	20	51	56	250	87	1	33	49	72	20	9	34	22	11	45	367	91	7	161	178	470	4	166	9	49	51	1033	189	612	514	13	106	12	218	7	264	247	41	101	2094	270	293	157	272	232	813	61	30	674	41	510	180	132	7	162	54	116	15	247	148	696	1	5	0	4	13	4	0	1	0	10	12	0	21	3	8	36	54	12	0	0	2	1	0	1	4	3	1	1548	688	138	3532	1317	546	268	478	626	869	1591	989	601	354	261	548	751	269	252	238	1086	1146	732	59	50	225	517	2464	314	627	152	202	360	633	339	573	47	73	7	3	3	3	0	14	382	934	690	1036	378	654	12	1650	161	36	146	28	44	151	98	629	58	5	669	402	1262	320	104	198	2759	470	643	257	543	1766	179	192	115	1655	429	637	5	0	1	2	1	1	2	0	1	37	17	207	81	12	74	20	Scutellinia_sp|k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Scutellinia	Scutellinia	13	Saprotroph	Undefined Saprotroph	Probable	Cup Fungus	NULL	Common name - eye lash cup	"Tedersoo L, et al. 2014. Science 346:1256688"
OTU969	4	7	0	1	2	4	1	0	0	86	0	9	36	29	6	0	50	23	0	14	4	0	32	62	3	1	2	168	196	75	92	415	296	135	50	8	32	53	8	0	56	38	2	12	1	18	5	32	213	331	81	681	3	4	19	4	22	2	0	6	9	16	23	155	48	27	70	72	158	207	298	176	248	268	261	268	146	345	120	452	0	0	0	0	9	0	3	0	2	0	0	1	0	0	5	1	5	18	1238	2168	3326	6994	1909	3898	960	6	4	323	475	727	454	572	341	1550	1356	1854	150	657	618	297	310	246	529	280	391	406	39	1787	4505	855	430	187	1435	214	480	54	344	9	78	159	78	608	209	2	4	1	0	5	7	0	0	0	0	0	0	2	3	0	0	1	0	3	0	4	3	0	396	1	2	2	2	0	0	3	1	0	0	1	0	1	0	0	1	0	0	0	0	15	55	24	11	3	5	27	16	1098	1	0	2	3	0	0	0	0	0	0	0	4	0	0	0	3	0	2	2	2	10	20	5	8	5	19	1	1	2301	29	22	47	16	1	0	2	0	0	0	0	3	0	1	1	1	0	4	2	1	5	0	5	0	1	1	1	1	0	0	0	2	1	3	0	0	2	0	0	1	0	Ulocladium_sp|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Ulocladium	Ulocladium	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)"
OTU7827	0	18	3	0	0	0	0	6	0	1	0	0	0	0	0	0	1	0	0	1	9	33	0	0	3	1767	22	3	1	2	0	9	0	0	0	2465	1182	818	408	550	3035	2654	647	1761	1	0	0	1	20	20	14	10	202	142	1425	3531	407	169	1269	440	2072	2	0	0	1	0	5	1	3842	966	705	2109	6760	1776	15	37	16	55	0	0	6	0	33	0	11	14	1	2	2	1	1	0	0	0	14	43	33	0	0	27	39	0	0	5	0	68	183	0	1	2	0	0	2	0	0	0	6	343	64	0	4	17	38	43	20	0	0	1	0	0	0	2	1	1	0	0	0	1	1	2	2	18	0	129	31	96	76	147	49	96	134	56	4	26	20	109	6	78	189	502	502	7	4	24	4	5	5	99	274	51	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15	6	1	1	0	0	0	12	5	0	0	0	1	0	0	0	0	1	4	5	0	1	0	1	0	2	0	0	7	0	0	0	2	1	0	2	0	0	0	1	0	1	0	0	2	2	0	0	0	0	0	0	1	1	0	6	2	0	0	0	4	1	0	0	1	0	0	0	0	1	Tulostoma_sp|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma	Tulostoma	13	Saprotroph	Soil Saprotroph	Probable	Gasteroid	NULL	Common name - stalked puffball	"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
OTU14142	34	5	6	2	15	23	11	9	4	35	144	31	26	67	30	453	11	1	2	0	329	9	1	11	11	3	21	682	192	337	140	20	122	19	72	32	1	90	1	81	0	1	1	1	127	150	502	8	66	53	37	17	0	0	0	0	0	2	151	3	1	333	395	92	265	0	25	229	76	0	18	0	0	41	0	0	0	1	46	0	17	8	1	13	24	27	20	100	468	80	89	6	159	124	712	47	93	52	7	0	11	20	43	2	10	1	0	20	491	13	53	127	0	0	2	4	3	621	80	0	20	23	202	34	52	18	49	2108	1	96	453	1454	346	4	0	48	3	15	27	200	74	34	6	2	0	4	0	4	4	1	0	2	49	7	0	0	1	53	974	18	8	3	0	0	0	0	0	1	4	0	0	7	81	63	48	28	33	38	1	0	1	2	19	0	0	2	15	44	83	61	56	45	53	72	24	655	87	120	658	494	624	418	753	648	443	204	306	415	285	286	605	393	315	767	102	65	398	14	563	119	261	59	27	147	131	269	95	244	1404	22	80	64	24	6	18	68	88	81	9	78	18	41	23	31	61	14	123	23	85	19	317	72	613	181	52	587	42	702	217	180	327	99	151	750	171	551	Metarhizium_sp|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium	Metarhizium	13	Pathotroph	Animal Pathogen	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
OTU2835	0	0	0	2	0	4	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	18	1469	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	6	0	0	226	0	0	3	1	1540	13	375	1509	423	0	497	271	19	117	0	0	0	0	0	0	10	0	0	0	41	8	0	0	0	0	0	5	29	3	2	24	28	2	0	20	218	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	21	20	19	100	0	4	2	0	0	1008	0	0	33	33	169	428	1512	464	1449	868	224	1164	486	622	0	359	163	501	31	315	226	492	363	22	333	257	1	474	47	19	1187	40	6	266	143	38	5	49	3	3	0	29	31	13	152	75	31	6	0	6	733	4	2	970	1021	0	306	2	22	19	13	23	768	899	24	524	25	19	19	6	0	0	0	0	0	5	0	29	1080	629	259	93	172	1444	331	Dactylaria_sp|k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Dactylaria	Dactylaria	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
OTU15138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1531	116	159	89	341	372	1516	1359	1833	0	0	0	0	0	0	0	1	20	4	842	3868	29	27	104	19	3154	0	0	0	0	3	0	0	921	52	718	1306	110	1042	0	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	25	5	0	1	0	0	0	2	2	0	0	0	6	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	10	0	982	158	6	217	767	582	572	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	1	2	126	18	14	0	21	0	0	0	0	0	0	0	0	0	Orbilia_sp|k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbilia	Orbilia	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
OTU5015	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	277	0	0	0	1	0	0	1	0	0	0	0	4	0	1431	2176	3739	1058	2131	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	1	0	1	3	0	0	1	0	306	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	4405	34	2483	0	0	0	0	683	0	55	101	0	0	0	0	0	1989	0	4	104	1	0	0	0	0	1	0	1	0	0	0	5	0	1	0	0	0	Trichaptum_sp|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetales_fam_Incertae_sedis;g__Trichaptum	Trichaptum	13	Saprotroph	Wood Saprotroph	Highly Probable	Polyporoid	White Rot	NULL	"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
OTU7351	67	19	27	23	99	92	44	111	248	0	0	1	8	32	18	187	0	3	99	960	526	87	602	1338	528	628	282	21	15	3	10	30	0	174	0	78	56	37	5	103	18	15	20	25	0	0	5	202	6	18	18	137	78	4	72	29	112	155	72	41	69	14	89	319	89	71	53	23	29	86	19	205	24	40	6	15	3	3	33	36	1468	344	180	926	506	353	207	42	16	55	8	5	16	38	25	55	62	0	26	7	36	35	5	81	123	51	45	22	6	42	319	29	131	133	101	86	47	92	273	71	253	314	332	203	130	10	0	0	119	1	0	0	3	3	1	13	6	26	88	50	0	47	0	56	74	61	15	27	33	51	13	19	2	0	0	0	0	23	10	1	0	136	5	18	21	49	48	33	46	28	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	15	4	2	0	651	8	1	3	2	0	0	17	22	5	0	0	0	17	0	0	0	0	0	3	1019	32	1	7	0	33	73	43	6	0	2	0	4	6	0	0	0	249	1	5	4	66	91	0	7	38	179	2	12	2	107	48	13	17	25	0	3	0	4	0	1	0	0	0	0	0	1	1	12	2	1	Phialea_sp|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Phialea	Phialea	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
